the_geom,cartodb_id,timestamp,long,lat,external_t,outlier_ma,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time
0101000020E61000007A1A3048FAAB53C033A7CB6262E14140,100,2013-04-16 19:10:00+00,-78.687151,35.760815,26.1111132,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000001F4DF564FEAB53C0E2CB441152E14140,101,2013-05-29 14:52:00+00,-78.687402,35.760317,24.7222242,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000006744696FF0AB53C01958C7F143E14140,102,2013-07-26 16:00:00+00,-78.68655,35.759886,27.33333552,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000008C82E0F1EDAB53C0840EBA8443E14140,103,2013-08-15 13:45:00+00,-78.686398,35.759873,20.50000164,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000DFC2BAF1EEAB53C0139B8F6B43E14140,104,2013-08-16 13:58:00+00,-78.686459,35.75987,20.77777944,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000005E49F25CDFAB53C0A986FD9E58E14140,105,2013-10-09 18:30:00+00,-78.685508,35.760517,16.83333468,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C5667029A1AB53C0FBFD8B3596E14140,106,2008-04-24 18:30:00+00,-78.68171154,35.76239652,26.6666688,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000060BCB41B9CAB53C0AEBA0ED594E14140,107,2008-04-29 17:15:00+00,-78.68140309,35.7623545,16.3888902,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C5667029A1AB53C0FBFD8B3596E14140,108,2008-05-08 20:50:00+00,-78.68171154,35.76239652,23.3333352,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000074B40D5098AB53C0498378B087E14140,109,2008-05-16 20:08:00+00,-78.68117143,35.76195341,25.94444652,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000052C30AF998AB53C0DC5627258CE14140,110,2008-05-21 16:51:00+00,-78.68121172,35.76208939,20.11111272,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000002EAB40B99AB53C0F637702087E14140,111,2008-05-30 13:37:00+00,-78.68121617,35.76193624,22.05555732,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000D508791499AB53C07512DFC384E14140,112,2008-06-06 18:03:00+00,-78.68121826,35.76186417,35.66666952,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000590C05099DAB53C0FC65206493E14140,113,2008-06-13 19:02:00+00,-78.68145967,35.76231052,33.6111138,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000005F954DB191AB53C08E4E656A75E14140,114,2008-06-25 21:35:00+00,-78.68076737,35.76139574,32.7777804,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C0DEED0F8EAB53C0FF34BDDD75E14140,115,2008-07-02 14:30:00+00,-78.68054579,35.76140949,24.4444464,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000D97D019CA2AB53C0D75A0CDC89E14140,116,2008-07-09 15:30:00+00,-78.68179989,35.76201964,26.83333548,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000009103C0C293AB53C001CDD6B095E14140,117,2008-07-18 16:15:00+00,-78.6808936,35.7623807,28.11111336,F,radio-transmitter,,SAMMY,SAMMY,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
